Timestamp,Voltage (V),Current (A)
1748472074,-2.24134995235,7.1476377630589e-05
1748472074,-2.2412019023500003,7.1115618460873e-05
1748472084,-2.2414708336,7.21157864225e-05
1748472084,-2.2410743273500002,7.231399007700799e-05
1748472094,-2.2413070336,7.1834284949161e-05
1748472094,-2.2412747461,7.1470436274039e-05
1748472104,-2.2414487836,7.1725201642903e-05
1748472104,-2.2413743648500004,7.1449760353245e-05
1748472114,-2.2413806648500003,7.0662411783239e-05
1748472114,-2.2413129398500002,7.178473403553399e-05
1748472124,-2.2413164836,7.2449571833479e-05
1748472124,-2.2413164836,7.2360689139491e-05
1748472134,-2.2409290336000005,7.3112033088804e-05
1748472134,-2.2413306586000004,7.1361115313519e-05
1748472144,-2.2414361836000003,7.2381127406023e-05
1748472144,-2.24143893985,7.1600433155353e-05
1748472154,-2.2408290211,7.2109132103164e-05
1748472154,-2.2414779211,7.0459217389229e-05
1748472164,-2.24139562735,7.194562597090799e-05
1748472164,-2.24141688985,7.0195777639802e-05
1748472174,-2.24104676485,6.9748987627242e-05
1748472174,-2.2403218711,7.1909977831608e-05
1748472184,-2.2413188461,7.2025715457202e-05
1748472184,-2.24134207735,7.1735301949038e-05
1748472194,-2.2416578648500005,7.0585768283744e-05
1748472194,-2.2413432586,7.1672442396739e-05
1748472204,-2.2416539273500002,7.0295473602711e-05
1748472204,-2.2414172836,7.1693355971795e-05
1748472214,-2.2416551086,7.1628714012531e-05
1748472214,-2.2415956523500005,7.1578568963249e-05
1748472224,-2.2416814898500004,7.099999966241e-05
1748472224,-2.2416401461,7.2461098065186e-05
1748472234,-2.24160116485,7.2557229214165e-05
1748472234,-2.2415169023500003,7.2379107344796e-05
