Timestamp,Voltage (V),Current (A)
1748474575,-3.198417581858654,-10.33466483951265
1748474575,-3.199544993978654,-9.37838182480215
1748474585,-3.199995171998654,-9.97306214067015
1748474585,-3.1986777971186537,-9.91383584904915
1748474595,-3.198801441518654,-9.982852609285048
1748474595,-3.198244479698654,-9.71846966668845
1748474605,-3.199177432898654,-10.054447929156149
1748474605,-3.1987789607186543,-10.06073316826695
1748474615,-3.198718262558654,-9.263837371007249
1748474615,-3.197172145538654,-9.15436945649415
1748474625,-3.1992015997586543,-9.51573041537085
1748474625,-3.1995438699386543,-9.86198262638505
1748474635,-3.198712080338654,-9.45880065342495
1748474635,-3.1987261308386543,-9.89066910232665
1748474645,-3.198161862758654,-9.62455368997515
1748474645,-3.1988261703986542,-9.15348307661955
1748474655,-3.198865511798654,-9.32789846194425
1748474655,-3.198818864138654,-10.370603514428248
1748474665,-3.198604172498654,-9.75859850101125
1748474665,-3.198748049618654,-9.93756665569185
1748474675,-3.198708708218654,-9.420363998862749
1748474675,-3.1989475667186538,-9.676447202633549
1748474685,-3.1989571210586543,-9.875721514441349
1748474685,-3.198240545558654,-10.111861171033649
1748474695,-3.1991740607786543,-10.07290074654555
1748474695,-3.198769406378654,-9.63893721794025
1748474705,-3.1990217533586542,-9.41137933013385
1748474705,-3.1976824596986537,-9.84296574907545
1748474715,-3.198926771978654,-9.74594744280105
1748474715,-3.198953186918654,-10.259886610091849
1748474725,-3.199802399138654,-10.01323126498725
1748474725,-3.1988593295786543,-9.76286924040705
1748474735,-3.1990234394186543,-9.65388480582555
1748474735,-3.199162258358654,-9.09357185509545
1748474745,-3.199144273718654,-9.64332882731895
1748474745,-3.198700277918654,-9.58813153512795
1748474755,-3.198861015638654,-9.880798053723149
1748474755,-3.1993235580986537,-9.94522175460885
1748474765,-3.1987969453586538,-9.936599695828649
1748474765,-3.198994214378654,-9.552515180166749
1748474775,-3.1985861878586537,-9.43374027697035
1748474775,-3.198839658878654,-9.73454537441415
1748474785,-3.1997332706786543,-9.819678132370049
1748474785,-3.199672010498654,-10.15996742422785
1748474795,-3.198526051718654,-9.824915831629049
1748474795,-3.197594222558654,-9.878380654065149
1748474805,-3.1999412180786537,-9.52652813384325
1748474805,-3.1986676807586543,-9.485392049662948
1748474815,-3.199335922538654,-9.87757485417915
1748474815,-3.198550780598654,-9.934947806062349
1748474825,-3.198740743358654,-10.111015081153349
1748474825,-3.1990925678786537,-9.931684316524048
1748474835,-3.1987452395186544,-9.611137121873249
1748474835,-3.1985586488786537,-9.52112927460705
1748474845,-3.199308383558654,-9.47064591174915
1748474845,-3.1998765857786537,-9.838453269713849
1748474855,-3.199007702858654,-10.006099935996149
1748474855,-3.198657564398654,-10.004045146286849
1748474865,-3.197489124818654,-9.41714079931875
1748474865,-3.198723882758654,-10.01041096538625
1748474875,-3.1986924096386544,-9.52451363412825
1748474875,-3.192165671378654,-9.62028295057935
1748474885,-3.199326930218654,-10.03297336219425
1748474885,-3.1985800056386537,-9.98027404964985
1748474895,-3.198751983758654,-9.88933953251475
1748474895,-3.198725568818654,-8.880719815208549
1748474905,-3.199092005858654,-9.58067788618245
1748474905,-3.198643513898654,-10.269153308780849
1748474915,-3.198694095698654,-10.128218908719449
1748474915,-3.198602486438654,-10.117260030269849
1748474925,-3.198604172498654,-9.393087672721649
1748474925,-3.198437252558654,-9.73966220369025
1748474935,-3.199933349798654,-8.783782088922749
1748474935,-3.2001604058786537,-9.156545116186349
1748474945,-3.199552300238654,-9.792240646251749
1748474945,-3.1990925678786537,-9.26141997134925
1748474955,-3.199584897398654,-9.00332226786345
1748474955,-3.199986179678654,-9.40461061109145
1748474965,-3.198549094538654,-9.09288692519235
1748474965,-3.199561854578654,-9.21633546772755
1748474975,-3.1974823805786543,-9.033015993662548
1748474975,-3.1983804885386538,-9.04655343174735
