Timestamp,Voltage (V),Current (A)
286,0.64616133515,-8.256538061950013e-07
296,0.64626134765,-1.207801859491001e-06
306,0.64637474765,2.8609283144100393e-07
326,0.6465987914,-8.779377438350016e-07
336,0.6466893539,-7.690920918390024e-07
346,0.64680314765,1.3304348671300335e-07
356,0.6469059164000001,-8.413389874870007e-07
366,0.64698506015,-5.134949330579976e-07
376,0.6471090914000001,-7.252448804999964e-07
386,0.64718902265,-4.197403266989965e-07
396,0.6472752539,2.677934532670001e-07
406,0.64735439765,-1.466755796610019e-07
416,0.64746622265,-1.3089237479719967e-06
426,0.6475351289,-7.884609141919991e-07
436,0.64765679765,2.271545744649998e-07
446,0.6477237351499999,-5.530643676809983e-07
456,0.6477969726499999,-7.245319177139989e-07
466,0.6478792664,-1.5986539120199986e-07
476,0.6479485664,-3.117264646199978e-07
486,0.64803322265,2.2050025512900272e-07
496,0.6481139413999999,1.170018240280018e-07
506,0.6481674914,-3.9431132066499727e-07
516,0.6482100164,-2.3995487749599786e-07
526,0.6483391664,-1.1716784116669985e-06
536,0.64839941015,4.406869288720025e-07
546,0.64846634765,-7.815689405939961e-07
556,0.64854116015,8.868828057769987e-07
566,0.6485888039000001,-8.013238630099722e-08
576,0.64867188515,-7.921445552529964e-07
586,0.6487376414,-1.4895409870919958e-06
596,0.64881048515,-1.008885242196998e-06
606,0.64887191015,-1.4325039642119986e-06
616,0.6488975038999999,-1.811354476509967e-07
626,0.6490085414,-7.285720401679983e-07
636,0.64905697265,-1.2018605029410015e-06
646,0.6491329664,-6.340737950000935e-09
656,0.64917903515,6.364844220900186e-08
666,0.6492176226499999,1.727317484670002e-07
676,0.6493070039,1.312610797479994e-07
686,0.6493703976499999,1.789999677400246e-08
696,0.64941843515,4.2321934061499917e-07
706,0.6494782851500001,-2.530258619059996e-07
716,0.64953734765,2.1384593579299886e-07
726,0.6494944289,-6.516908864109993e-07
736,0.6496739789,-2.3139932406400065e-07
746,0.6497109914,-2.9630855626000877e-08
756,0.6496881539,9.510494565169981e-07
766,0.6498220289,-3.7316009134699663e-07
776,0.64985943515,4.549461845920001e-07
796,0.6499696851500001,6.362763864980035e-07
806,0.6500102414,-4.288900157860018e-07
816,0.6500543414,-6.698714374540001e-07
826,0.6501212789,-1.524981090799985e-07
836,0.65015238515,-1.209465439325002e-06
