Timestamp,Voltage (V),Current (A)
1743925079,0.30759776015,6.7773367747236e-05
1743925089,0.30287984765,6.786771648925e-05
1743925099,0.2993963414,6.6082220018844e-05
1743925109,0.29649991639999995,6.8244754975913e-05
1743925119,0.29396377264999995,6.7947924802675e-05
1743925129,0.29172057889999997,6.644892054511e-05
1743925139,0.2897014289,6.6558479159892e-05
1743925149,0.2878342664,6.7325389463366e-05
1743925159,0.2861364164,6.7810560639239e-05
1743925169,0.28457480389999995,6.7921307525331e-05
1743925179,0.2831210789,6.715368425907101e-05
1743925189,0.28177484765,6.673244207967599e-05
1743925199,0.28050500389999994,6.7772773611581e-05
1743925209,0.27930957889999997,6.7690307582667e-05
1743925219,0.2782133789,6.778418101615699e-05
1743925229,0.27719907889999995,6.8062117675566e-05
1743925239,0.2761981664,6.7467744366304e-05
1743925249,0.27527246014999995,6.7517889415586e-05
1743925259,0.27439794139999996,6.700384324688e-05
1743925269,0.27358248514999994,6.792142635246199e-05
1743925279,0.27278081015,6.6675048575403e-05
1743925289,0.27207599764999996,6.6347204520974e-05
1743925299,0.2713597664,6.7197769124672e-05
1743925309,0.27069551015,6.758490791747e-05
1743925319,0.27006393515,6.6909494504866e-05
1743925329,0.26947724765,6.7429957338646e-05
1743925339,0.26890473514999996,6.7268708921879e-05
1743925349,0.26834246014999996,6.7655847714677e-05
1743925359,0.2678317664,6.6928625672957e-05
1743925369,0.26731477265,6.677925996929e-05
1743925379,0.26685014765,6.750648201100999e-05
1743925389,0.26638867265,6.8910186909513e-05
1743925399,0.26594964139999994,6.6685980671455e-05
1743925409,0.26554762265,6.7623407907914e-05
1743925419,0.26513654764999994,6.6902246049875e-05
1743925429,0.26476799765,6.8438205545181e-05
1743925459,0.2636942414,6.7938062150802e-05
1743925469,0.2633721539,6.7609386306456e-05
1743925479,0.2630500664,6.7274174969905e-05
1743925489,0.26276302264999996,6.745063325944e-05
1743925499,0.26246613514999995,6.6455693691577e-05
1743925509,0.2621877539,6.7994029729503e-05
1743925519,0.26191370389999996,6.7687812212916e-05
1743925529,0.26165382889999994,6.6453198321826e-05
1743925539,0.26139671015,6.831688304442999e-05
1743925549,0.26115652265,6.8054750393444e-05
1743925559,0.26090491639999996,6.727120429163e-05
1743925569,0.2606985914,6.7030935832748e-05
1743925579,0.2604686414,6.7082387980471e-05
1743925589,0.26024814139999997,6.8018508118489e-05
1743925599,0.26005481015,6.6789479102556e-05
1743925609,0.25985006015,6.8374989511489e-05
1743925619,0.25964964139999996,6.7643489693053e-05
1743925629,0.25944804139999994,6.6916386478464e-05
1743925639,0.25926219139999995,6.757064866175e-05
1743925649,0.25910272264999995,6.6990534608208e-05
1743925659,0.25892002264999997,6.7683653263331e-05
1743925669,0.25875937265,6.7929150115977e-05
1743925679,0.25859832889999995,6.690688030798399e-05
1743925689,0.25844358515,6.6518909725269e-05
1743925699,0.25822702264999997,6.7242923434452e-05
1743925709,0.2580707039,6.7812818354728e-05
1743925719,0.2579328914,6.7341668780313e-05
1743925729,0.2578273664,6.7429482030122e-05
1743925739,0.25763718515,6.6344827978354e-05
1743925749,0.25752457265,6.7873539018669e-05
1743925759,0.25738164139999997,6.692898215435e-05
1743925769,0.2572902914,6.6853645753296e-05
1743925779,0.25713476015,6.6425630427434e-05
1743925789,0.25701309139999995,6.691448524436799e-05
1743925799,0.25691032264999997,6.7595245877867e-05
1743925809,0.25676739139999993,6.7925347647785e-05
1743925819,0.2566571414,6.6696318631852e-05
1743925829,0.2565453164,6.7778358486738e-05
1743925839,0.25642561639999994,6.7785963423122e-05
1743925849,0.25630788514999997,6.784157452043e-05
1743925859,0.2562255914,6.6522831020592e-05
1743925869,0.25609841014999996,6.8110361490752e-05
1743925879,0.25601257265,6.6920783082311e-05
1743925889,0.2558956289,6.7693397088073e-05
1743925899,0.25578026015,6.7891244261188e-05
1743925909,0.2556940289,6.6881688956212e-05
1743925919,0.2556018914,6.763719185511e-05
1743925929,0.25550148515,6.7566965020689e-05
1743925939,0.2554176164,6.7359849331356e-05
1743925949,0.25533689765,6.7234724362413e-05
1743925959,0.25525027265,6.7113283034531e-05
1743925969,0.2551782164,6.7614139391696e-05
1743925979,0.2550805664,6.7661076108441e-05
1743925989,0.2549734664,6.59248928974e-05
1743926009,0.25481951015000004,6.6735650412213e-05
1743926019,0.2547340664,6.6886323214321e-05
1743926029,0.25466988515,6.6677306290892e-05
1743926039,0.25458798515000003,6.6609931307615e-05
1743926049,0.25451553515,6.7028559290128e-05
1743926059,0.2544442664,6.6988752201243e-05
1743926069,0.2543702414,6.6411727653107e-05
1743926079,0.25431314765,6.7265857070735e-05
1743926089,0.25424384764999997,6.7346897174077e-05
1743926099,0.2541607664,6.7307921875109e-05
1743926109,0.2541064289,6.8105014269857e-05
1743926119,0.2540576039,6.7024519167674e-05
1743926129,0.25399972265,6.7145960495556e-05
1743926139,0.2539134914,6.6984355597396e-05
1743926149,0.25387057265,6.8525781140728e-05
1743926159,0.2537701664,6.6069743170089e-05
1743926169,0.2537512664,6.8092893902495e-05
1743926179,0.25367527265,6.8346114518656e-05
1743926189,0.2536189664,6.699552534771e-05
1743926199,0.25356344765,6.7383258276163e-05
1743926209,0.25350989765,6.7182202770511e-05
1743926219,0.25345280389999997,6.8297157740684e-05
1743926229,0.2534008289,6.6717232206908e-05
1743926239,0.25337759765,6.6862914269514e-05
1743926249,0.2533118414,6.7648599259686e-05
1743926269,0.25321379765,6.7825770512007e-05
1743926279,0.2531346539,6.6600425137135e-05
1743926289,0.25309094765,6.7195036100659e-05
1743926299,0.2530440914,6.7797252000567e-05
1743926309,0.25299644765,6.738361475755599e-05
1743926319,0.25295234765,6.7839435632072e-05
1743926329,0.25290431015000003,6.7192065422384e-05
1743926339,0.2528424914,6.6813125701625e-05
1743926349,0.25278933515,6.6497402014558e-05
1743926359,0.25274129765000003,6.718327221469e-05
1743926369,0.25269050390000003,6.7460852392706e-05
1743926379,0.25266018515,6.671461801002599e-05
1743926389,0.25260978515,6.6889412719727e-05
1743926399,0.25257356015,6.7038778423394e-05
1743926409,0.25252079765,6.784264396460899e-05
1743926419,0.25247748515,6.7426392524716e-05
1743926429,0.2524392914,6.7424847772013e-05
1743926439,0.25241291015,6.7769446451913e-05
1743926449,0.2523471539,6.698898985550499e-05
1743926459,0.25231998515,6.8731233250227e-05
1743926469,0.2522621039,6.6950965173585e-05
1743926479,0.2522156414,6.7940676347684e-05
1743926489,0.25217114765,6.658759180698699e-05
