Timestamp,Voltage (V),Current (A)
40,0.6732690539,5.206575880349975e-07
50,0.6755071289,-1.0428698016630013e-06
60,0.67548783515,-4.332866196329966e-07
70,0.6747991664,-7.562587616909998e-07
80,0.6755906039,-6.115273161329973e-07
90,0.6758319726500001,7.836220289380037e-07
100,0.6758433913999999,-6.381445934769991e-07
110,0.6758768601499999,1.871098313180008e-07
120,0.6758898538999999,8.387578177220008e-07
130,0.6758536289,-7.042124783129987e-07
140,0.67592568515,-4.210770438100133e-08
150,0.6759260789,-3.8100268199299633e-07
160,0.67592489765,-4.0227273844199994e-07
