Timestamp,Voltage (V),Current (A)
1743797338,-0.13342743985000002,-7.871538157510003e-07
1743797346,-0.1321875211,-6.66187796392996e-07
1743797355,-0.1321867336,1.1212991165700188e-07
1743797365,-0.1322111461,-6.17706326944996e-07
1743797375,-0.1322111461,-7.81806594856002e-07
1743797385,-0.13220917735,-7.015982814310011e-07
1743797395,-0.1321764961,5.3310481812000713e-08
1743797405,-0.1321969711,-7.207294495219986e-07
1743797416,-0.13219854609999998,1.392224975250021e-07
1743797425,-0.13222098985,-5.813452248590011e-07
1743797435,-0.13219421485000002,-5.3277454694996185e-08
1743797445,-0.1322316211,-6.944686535709989e-07
1743797455,-0.1324970086,-1.0263528304540014e-06
1743797465,-0.13220838985,-5.698189931519973e-07
1743797475,-0.13221075235000002,-5.206245609179998e-07
1743797485,-0.13225563985,4.653733534500066e-08
1743797495,-0.13219736485000003,3.1484899714299833e-07
1743797505,-0.1322654836,8.29013992980001e-07
1743797515,-0.13224461485,6.388609647100103e-08
1743797525,-0.1322158711,1.2353731623300268e-07
1743797535,-0.1322371336,9.427315573470001e-07
1743797545,-0.13223201485000002,-8.413389874870007e-07
1743797555,-0.1322394961,1.269833030320008e-07
1743797565,-0.13222532110000002,-1.8767093985599758e-07
1743797575,-0.1322442211,3.0106504994699906e-07
1743797585,-0.13221390235000002,-5.5416343053002264e-08
1743797595,-0.1322387086,4.4116223739600085e-07
1743797605,-0.13228477735000002,-5.622140567679968e-07
1743797615,-0.13226508985000002,1.240037039108998e-06
1743797625,-0.1322300461,4.934461750360011e-07
1743797635,-0.13224776485,5.972714688599862e-08
1743797645,-0.1322765086,5.358674608029986e-07
1743797655,-0.1322442211,1.6252745978110006e-06
1743797665,-0.13225563985,-2.454209255219991e-07
1743797675,-0.1322410711,6.183334897170019e-07
1743797696,-0.1331860711,4.121684174320005e-07
1743797706,-0.13223477109999998,7.717393158379978e-07
1743797715,-0.13227060235,2.1467772570999934e-07
1743797725,-0.1322804461,1.305481169620019e-07
1743797735,-0.13224855235000002,7.218319208180028e-07
1743797745,-0.13227453984999998,-1.0608126984439962e-06
1743797755,-0.13226942109999998,3.051051724009985e-07
1743797765,-0.1322820211,-4.5681439157099573e-07
1743797775,-0.13225800235,2.5504933158002996e-08
1743797785,-0.13227217735,3.008273956849999e-07
1743797795,-0.1322426461,5.246977104890038e-07
1743797805,-0.13223595235,-1.4406138277899748e-07
1743797828,-0.1329545461,-2.7491967268001574e-08
1743797835,-0.13227099609999998,6.923627923300041e-07
1743797845,-0.13227375235,1.985172358940016e-07
1743797866,-0.13362588984999998,5.33253263921001e-07
1743797875,-0.1322387086,3.906607067209977e-07
1743797885,-0.13227532735,2.613767881930022e-07
1743797895,-0.13229107735,1.0137901816850025e-06
1743797905,-0.13225445859999999,1.3506354793999968e-07
1743797915,-0.13228753359999998,3.885218183629984e-07
1743797925,-0.13228517110000002,-7.456831470319995e-07
1743797935,-0.13235801484999998,3.614292324949982e-07
1743797945,-0.1322646961,5.024770369920035e-07
1743797955,-0.1322772961,-6.364810136429982e-07
1743797965,-0.1324702336,2.156283427580028e-07
1743797975,-0.1322702086,3.640741053998072e-09
1743797985,-0.13227257109999999,-6.275689788179988e-07
1743797995,-0.1322780836,-3.5652429300700054e-07
1743798005,-0.13227296485,-5.155149942850007e-07
1743798015,-0.1322780836,5.453736312829993e-07
1743798025,-0.13231863985,-1.7483760970800176e-07
1743798035,-0.13228635235,1.24131451888004e-07
1743798045,-0.13228595859999998,-1.1499330466939966e-06
1743798055,-0.13232533359999998,-1.1221571167100032e-07
1743798065,-0.1322788711,-1.167311426489981e-07
1743798075,-0.13226430235,-3.141326259099804e-08
1743798085,-0.13229501485,-3.32045904020998e-07
1743798095,-0.13232021485,-4.187005011900216e-08
1743798105,-0.13223910235,8.268751046220017e-07
1743798128,-0.13526152735,2.335712395389977e-07
1743798135,-0.13223477109999998,1.2615151311500032e-07
1743798145,-0.13245251485,-1.1019565044399722e-07
1743798155,-0.13208317735,4.0551409809600343e-07
1743798165,-0.1309952461,1.5584937501890035e-06
1743798175,-0.1268585086,4.2265193225320024e-06
1743798185,-0.12510435235,4.661188967730002e-06
1743798195,-0.12596902735,3.410771068217003e-06
1743798205,-0.12831813984999998,6.058566409620014e-07
1743798215,-0.1264970461,4.2215285830299995e-06
1743798225,-0.0352147711,4.9519856845802e-05
1743798235,-0.0149547586,5.9366585883248e-05
1743798256,-0.0184110961,5.84625490706e-05
1743798265,-0.0190599961,5.7575504537685e-05
1743798275,-0.020869671099999997,5.6766648256968e-05
1743798285,-0.022750221100000002,5.592677809506e-05
1743798295,-0.02489812735,5.4659486742945e-05
1743798305,-0.0266979586,5.3836727687901e-05
